datetime,instrument_name,price,amount,direction,index_price,iv
2025-10-10 23:50:02.879000+00:00,BTC-13OCT25-110000-P,0.0045,0.1,buy,113792.51,51.23
2025-10-10 23:50:06.836000+00:00,BTC-11OCT25-111000-P,0.0016,0.2,buy,113723.85,74.93
2025-10-10 23:50:06.889000+00:00,BTC-11OCT25-111000-P,0.0016,0.3,buy,113723.85,74.93
2025-10-10 23:50:09.168000+00:00,BTC-26DEC25-112000-C,0.0925,0.7,sell,113702.38,42.92
2025-10-10 23:50:15.601000+00:00,BTC-31OCT25-126000-C,0.008,2.0,sell,113701.07,40.92
2025-10-10 23:50:15.602000+00:00,BTC-31OCT25-108000-P,0.0185,2.0,buy,113701.07,43.2
2025-10-10 23:50:18.708000+00:00,BTC-17OCT25-125000-C,0.0017,250.0,sell,113680.0,45.89
2025-10-10 23:50:18.708000+00:00,BTC-24OCT25-125000-C,0.0055,250.0,buy,113680.0,42.84
2025-10-10 23:50:19.348000+00:00,BTC-17OCT25-124000-C,0.0024,4.0,sell,113703.4,46.31
2025-10-10 23:50:21.298000+00:00,BTC-24OCT25-105000-P,0.008,0.3,sell,113718.59,45.93
2025-10-10 23:50:25.769000+00:00,BTC-24OCT25-117000-C,0.0205,1.2,buy,113759.58,41.39
2025-10-10 23:50:33.106000+00:00,BTC-31OCT25-123000-C,0.0125,0.3,buy,113751.04,40.82
2025-10-10 23:50:37.776000+00:00,BTC-17OCT25-126000-C,0.0017,0.1,sell,113761.24,48.57
2025-10-10 23:50:38.896000+00:00,BTC-24OCT25-140000-C,0.0007,2.1,buy,113761.05,51.18
2025-10-10 23:50:40.670000+00:00,BTC-28NOV25-95000-P,0.0115,3.0,buy,113766.55,48.36
2025-10-10 23:50:40.672000+00:00,BTC-28NOV25-95000-P,0.0115,2.0,buy,113766.55,48.36
2025-10-10 23:50:41.247000+00:00,BTC-31OCT25-123000-C,0.0125,1.0,buy,113774.58,40.73
2025-10-10 23:50:42.192000+00:00,BTC-24OCT25-116000-P,0.0415,1.9,sell,113766.44,41.52
2025-10-10 23:50:42.192000+00:00,BTC-24OCT25-116000-P,0.0415,0.1,sell,113766.44,41.52
2025-10-10 23:50:48.474000+00:00,BTC-28NOV25-114000-C,0.064,0.2,sell,113700.38,42.04
2025-10-10 23:50:48.735000+00:00,BTC-11OCT25-112000-P,0.0026,1.0,buy,113677.02,67.79
2025-10-10 23:50:51.201000+00:00,BTC-12OCT25-102000-P,0.001,0.1,buy,113625.01,103.59
2025-10-10 23:50:51.203000+00:00,BTC-11OCT25-111000-P,0.0018,0.8,buy,113625.01,76.87
2025-10-10 23:50:51.203000+00:00,BTC-11OCT25-111000-P,0.0018,0.6,buy,113625.01,76.87
2025-10-10 23:50:51.223000+00:00,BTC-12OCT25-109000-P,0.0021,0.2,buy,113625.01,60.31
2025-10-10 23:50:54.353000+00:00,BTC-26DEC25-140000-C,0.019,0.2,sell,113620.29,43.44
2025-10-10 23:50:54.831000+00:00,BTC-17OCT25-102000-P,0.0013,75.0,sell,113620.29,50.57
2025-10-10 23:50:55.972000+00:00,BTC-24OCT25-116000-C,0.0235,2.0,buy,113627.83,41.6
2025-10-10 23:50:55.985000+00:00,BTC-24OCT25-116000-C,0.0235,0.1,buy,113627.83,41.6
2025-10-10 23:50:56.524000+00:00,BTC-31OCT25-126000-C,0.008,0.1,buy,113635.51,41.04
2025-10-10 23:50:56.808000+00:00,BTC-28NOV25-100000-P,0.018,1.0,buy,113627.83,45.8
2025-10-10 23:50:56.838000+00:00,BTC-31OCT25-126000-C,0.008,0.1,buy,113635.51,41.04
2025-10-10 23:50:57.468000+00:00,BTC-26DEC25-112000-C,0.092,2.5,sell,113635.51,42.75
2025-10-10 23:50:57.487000+00:00,BTC-12OCT25-120000-C,0.0007,0.9,sell,113635.51,54.2
2025-10-10 23:51:01.370000+00:00,BTC-31OCT25-126000-C,0.008,2.7,buy,113525.44,41.25
2025-10-10 23:51:01.380000+00:00,BTC-31OCT25-126000-C,0.008,1.4,buy,113525.44,41.25
2025-10-10 23:51:04.464000+00:00,BTC-28NOV25-100000-P,0.018,1.0,buy,113589.07,45.72
2025-10-10 23:51:06.950000+00:00,BTC-12OCT25-120000-C,0.0007,0.1,sell,113598.28,54.47
2025-10-10 23:51:10.016000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113542.54,41.86
2025-10-10 23:51:10.136000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113542.54,41.86
2025-10-10 23:51:12.035000+00:00,BTC-12OCT25-114000-P,0.012,0.4,sell,113519.78,41.98
2025-10-10 23:51:12.039000+00:00,BTC-12OCT25-114000-P,0.012,0.1,sell,113519.78,41.98
2025-10-10 23:51:12.093000+00:00,BTC-12OCT25-109000-P,0.0021,0.6,buy,113519.78,58.66
2025-10-10 23:51:12.474000+00:00,BTC-28NOV25-130000-C,0.0185,0.1,sell,113519.78,41.9
2025-10-10 23:51:13.028000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113524.47,41.93
2025-10-10 23:51:13.138000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113524.47,41.93
2025-10-10 23:51:14.032000+00:00,BTC-12OCT25-115000-P,0.017,0.4,sell,113524.21,38.47
2025-10-10 23:51:15.167000+00:00,BTC-31OCT25-112000-P,0.0315,1.9,buy,113512.21,42.26
2025-10-10 23:51:15.353000+00:00,BTC-17OCT25-109000-P,0.0085,1.6,buy,113512.21,46.11
2025-10-10 23:51:15.503000+00:00,BTC-28NOV25-114000-C,0.063,0.6,sell,113512.21,41.85
2025-10-10 23:51:16.031000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113510.57,41.98
2025-10-10 23:51:16.141000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113510.57,41.98
2025-10-10 23:51:16.159000+00:00,BTC-24OCT25-105000-P,0.0085,1.7,sell,113510.57,46.36
2025-10-10 23:51:16.886000+00:00,BTC-13OCT25-110000-P,0.005,0.1,buy,113510.57,51.22
2025-10-10 23:51:17.237000+00:00,BTC-28NOV25-100000-P,0.0185,1.8,buy,113506.26,46.14
2025-10-10 23:51:17.625000+00:00,BTC-28NOV25-100000-P,0.0185,1.1,buy,113506.26,46.14
2025-10-10 23:51:18.189000+00:00,BTC-24OCT25-103000-P,0.0065,0.2,buy,113433.27,48.7
2025-10-10 23:51:18.301000+00:00,BTC-27MAR26-120000-P,0.135,0.1,buy,113433.27,44.77
2025-10-10 23:51:18.524000+00:00,BTC-28NOV25-100000-P,0.0185,1.0,buy,113433.27,46.02
2025-10-10 23:51:18.700000+00:00,BTC-13OCT25-106000-P,0.0022,1.0,buy,113433.27,65.38
2025-10-10 23:51:19.235000+00:00,BTC-26DEC25-115000-C,0.079,0.2,sell,113394.5,43.08
2025-10-10 23:51:19.590000+00:00,BTC-31OCT25-155000-C,0.0005,2.0,buy,113382.88,55.93
2025-10-10 23:51:20.312000+00:00,BTC-28NOV25-100000-P,0.0185,1.1,buy,113382.88,45.96
2025-10-10 23:51:21.159000+00:00,BTC-28NOV25-135000-P,0.193,0.1,sell,113372.75,44.13
2025-10-10 23:51:21.375000+00:00,BTC-24OCT25-125000-C,0.0049,0.4,buy,113372.75,42.18
2025-10-10 23:51:21.508000+00:00,BTC-28NOV25-132000-P,0.17,0.1,sell,113372.75,43.35
2025-10-10 23:51:21.508000+00:00,BTC-28NOV25-140000-P,0.233,0.1,sell,113372.75,45.6
2025-10-10 23:51:21.508000+00:00,BTC-28NOV25-135000-P,0.193,0.1,sell,113372.75,44.13
2025-10-10 23:51:21.825000+00:00,BTC-24OCT25-125000-C,0.0049,0.2,buy,113362.68,42.21
2025-10-10 23:51:22.003000+00:00,BTC-24OCT25-125000-C,0.0049,0.4,buy,113362.68,42.21
2025-10-10 23:51:22.038000+00:00,BTC-28NOV25-130000-P,0.155,0.1,sell,113362.68,42.88
2025-10-10 23:51:22.409000+00:00,BTC-28NOV25-125000-P,0.1195,0.1,sell,113362.68,41.64
2025-10-10 23:51:22.506000+00:00,BTC-26DEC25-65000-P,0.0033,0.1,buy,113362.68,69.1
2025-10-10 23:51:25.024000+00:00,BTC-24OCT25-110000-P,0.019,4.0,sell,113407.05,43.4
2025-10-10 23:51:25.101000+00:00,BTC-24OCT25-124000-C,0.006,0.1,buy,113407.05,42.2
2025-10-10 23:51:25.104000+00:00,BTC-31OCT25-85000-C,0.2545,0.1,buy,113407.05,64.56
2025-10-10 23:51:25.795000+00:00,BTC-12OCT25-115000-P,0.0175,1.3,sell,113432.63,36.88
2025-10-10 23:51:30.395000+00:00,BTC-31OCT25-110000-C,0.058,0.1,buy,113374.34,42.25
2025-10-10 23:51:30.511000+00:00,BTC-31OCT25-110000-C,0.058,0.1,buy,113374.34,42.25
2025-10-10 23:51:32.167000+00:00,BTC-17OCT25-125000-C,0.0016,250.0,sell,113360.15,46.45
2025-10-10 23:51:32.167000+00:00,BTC-24OCT25-125000-C,0.0055,250.0,buy,113348.5,43.74
2025-10-10 23:51:33.051000+00:00,BTC-13OCT25-107000-P,0.0027,0.1,sell,113360.15,61.1
2025-10-10 23:51:33.396000+00:00,BTC-31OCT25-110000-C,0.058,0.1,buy,113361.4,42.25
2025-10-10 23:51:33.521000+00:00,BTC-31OCT25-110000-C,0.058,0.1,buy,113361.4,42.25
2025-10-10 23:51:34.407000+00:00,BTC-31OCT25-112000-C,0.0475,0.1,buy,113343.9,41.88
2025-10-10 23:51:34.439000+00:00,BTC-31OCT25-114000-C,0.038,0.1,buy,113343.9,41.29
2025-10-10 23:51:34.546000+00:00,BTC-31OCT25-124000-C,0.0105,1.1,buy,113343.9,41.19
2025-10-10 23:51:36.589000+00:00,BTC-31OCT25-110000-C,0.058,0.1,buy,113318.8,42.49
2025-10-10 23:51:36.953000+00:00,BTC-17OCT25-113000-P,0.0215,1.0,sell,113320.26,45.15
2025-10-10 23:51:37.208000+00:00,BTC-31OCT25-124000-P,0.1005,0.1,sell,113318.8,41.15
2025-10-10 23:51:37.683000+00:00,BTC-31OCT25-112000-C,0.0475,0.1,buy,113348.13,42.11
2025-10-10 23:51:37.686000+00:00,BTC-31OCT25-125000-P,0.108,0.1,sell,113348.13,41.36
2025-10-10 23:51:37.841000+00:00,BTC-31OCT25-122000-P,0.086,0.1,sell,113348.13,40.61
2025-10-10 23:51:37.901000+00:00,BTC-31OCT25-112000-C,0.0475,0.1,buy,113348.13,42.11
2025-10-10 23:51:38.547000+00:00,BTC-31OCT25-85000-C,0.2545,0.1,buy,113348.13,67.09
2025-10-10 23:51:38.664000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113387.25,42.68
2025-10-10 23:51:38.753000+00:00,BTC-31OCT25-108000-C,0.0705,0.1,buy,113387.25,43.73
2025-10-10 23:51:38.898000+00:00,BTC-31OCT25-105000-C,0.0905,0.1,buy,113387.25,45.18
2025-10-10 23:51:38.932000+00:00,BTC-28NOV25-90000-P,0.008,0.1,sell,113387.25,51.79
2025-10-10 23:51:39.013000+00:00,BTC-26DEC25-105000-P,0.0425,1.0,sell,113387.25,45.14
2025-10-10 23:51:39.166000+00:00,BTC-24OCT25-116000-P,0.0445,1.5,sell,113348.13,42.51
2025-10-10 23:51:39.509000+00:00,BTC-24OCT25-125000-C,0.0055,3.4,buy,113387.25,43.65
2025-10-10 23:51:40.164000+00:00,BTC-31OCT25-115000-P,0.0445,0.1,sell,113460.37,41.68
2025-10-10 23:51:40.164000+00:00,BTC-31OCT25-116000-P,0.0495,0.1,sell,113460.37,41.62
2025-10-10 23:51:41.684000+00:00,BTC-24OCT25-120000-C,0.0125,0.3,buy,113485.57,42.18
2025-10-10 23:51:41.765000+00:00,BTC-31OCT25-122000-C,0.014,1.3,buy,113501.31,40.88
2025-10-10 23:51:41.770000+00:00,BTC-26DEC25-145000-C,0.0145,0.5,sell,113501.31,44.32
2025-10-10 23:51:41.782000+00:00,BTC-24OCT25-122000-C,0.009,0.8,buy,113485.57,42.58
2025-10-10 23:51:44.048000+00:00,BTC-17OCT25-113000-P,0.021,0.1,sell,113465.6,45.41
2025-10-10 23:51:44.192000+00:00,BTC-24OCT25-120000-C,0.0125,0.3,buy,113465.6,42.27
2025-10-10 23:51:44.305000+00:00,BTC-24OCT25-122000-C,0.009,0.3,buy,113465.6,42.48
2025-10-10 23:51:46.081000+00:00,BTC-31OCT25-112000-P,0.0315,7.9,sell,113522.45,42.28
2025-10-10 23:51:46.090000+00:00,BTC-31OCT25-112000-P,0.0315,1.1,buy,113522.45,42.28
2025-10-10 23:51:47.232000+00:00,BTC-26DEC25-145000-C,0.0145,0.1,sell,113538.67,44.28
2025-10-10 23:51:47.757000+00:00,BTC-31OCT25-112000-C,0.048,0.1,buy,113513.18,41.58
2025-10-10 23:51:48.693000+00:00,BTC-31OCT25-112000-C,0.048,0.1,buy,113504.0,41.72
2025-10-10 23:51:48.780000+00:00,BTC-17OCT25-113000-P,0.021,0.1,sell,113513.18,45.84
2025-10-10 23:51:50.515000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113499.61,42.08
2025-10-10 23:51:50.533000+00:00,BTC-31OCT25-110000-C,0.0585,0.1,buy,113499.61,42.08
2025-10-10 23:51:50.983000+00:00,BTC-26DEC25-145000-C,0.0145,0.1,sell,113499.61,44.33
2025-10-10 23:51:50.995000+00:00,BTC-31OCT25-112000-C,0.048,0.1,buy,113499.61,41.78
2025-10-10 23:51:51.878000+00:00,BTC-31OCT25-112000-C,0.048,0.1,buy,113488.79,41.87
2025-10-10 23:51:52.480000+00:00,BTC-28NOV25-114000-C,0.063,0.6,sell,113478.48,42.05
2025-10-10 23:51:52.886000+00:00,BTC-26DEC25-95000-P,0.0215,0.1,buy,113478.48,48.62
2025-10-10 23:51:53.330000+00:00,BTC-31OCT25-145000-C,0.001,0.1,sell,113478.48,50.0
2025-10-10 23:51:53.963000+00:00,BTC-24OCT25-126000-C,0.0047,0.1,sell,113484.9,43.85
2025-10-10 23:51:54.163000+00:00,BTC-31OCT25-136000-C,0.0024,2.0,sell,113484.9,45.46
2025-10-10 23:51:57.152000+00:00,BTC-26DEC25-95000-P,0.0215,1.0,buy,113476.09,48.62
2025-10-10 23:52:00.851000+00:00,BTC-28NOV25-100000-P,0.0185,0.7,buy,113474.32,45.96
2025-10-10 23:52:00.864000+00:00,BTC-28NOV25-100000-P,0.0185,0.3,buy,113474.32,45.96
2025-10-10 23:52:08.085000+00:00,BTC-13OCT25-112000-P,0.0085,0.1,sell,113488.11,44.66
2025-10-10 23:52:08.592000+00:00,BTC-31OCT25-106000-C,0.0835,0.3,sell,113488.11,44.41
2025-10-10 23:52:10.782000+00:00,BTC-31OCT25-116000-C,0.03,0.1,buy,113446.52,40.92
2025-10-10 23:52:11.057000+00:00,BTC-28NOV25-114000-C,0.0625,0.6,sell,113419.63,41.93
2025-10-10 23:52:12.381000+00:00,BTC-31OCT25-116000-C,0.03,0.7,buy,113419.63,41.04
2025-10-10 23:52:12.453000+00:00,BTC-24OCT25-124000-C,0.006,0.1,buy,113419.63,42.22
2025-10-10 23:52:15.759000+00:00,BTC-12OCT25-112000-P,0.006,0.3,buy,113379.06,47.08
2025-10-10 23:52:16.656000+00:00,BTC-26DEC25-120000-C,0.06,0.1,sell,113379.06,42.77
2025-10-10 23:52:16.656000+00:00,BTC-26DEC25-120000-C,0.06,0.2,sell,113379.06,42.77
2025-10-10 23:52:16.656000+00:00,BTC-26DEC25-120000-C,0.06,0.1,sell,113379.06,42.77
2025-10-10 23:52:20.746000+00:00,BTC-31OCT25-122000-C,0.0135,0.4,buy,113351.76,40.85
2025-10-10 23:52:20.803000+00:00,BTC-31OCT25-122000-C,0.0135,0.1,buy,113351.76,40.85
2025-10-10 23:52:20.879000+00:00,BTC-31OCT25-121000-C,0.0155,0.1,buy,113351.76,40.82
2025-10-10 23:52:23.660000+00:00,BTC-17OCT25-125000-C,0.0016,100.0,sell,113340.18,46.35
2025-10-10 23:52:23.660000+00:00,BTC-24OCT25-125000-C,0.0055,100.0,buy,113340.18,43.88
2025-10-10 23:52:24.569000+00:00,BTC-31OCT25-119000-C,0.0205,0.3,buy,113340.18,41.13
2025-10-10 23:52:24.589000+00:00,BTC-31OCT25-119000-C,0.0205,0.3,buy,113340.18,41.13
2025-10-10 23:52:24.782000+00:00,BTC-31OCT25-119000-C,0.0205,0.1,buy,113336.11,41.15
2025-10-10 23:52:25.667000+00:00,BTC-31OCT25-126000-C,0.008,0.7,buy,113336.11,41.91
2025-10-10 23:52:30.384000+00:00,BTC-17OCT25-102000-P,0.0028,7.7,sell,113320.88,58.86
2025-10-10 23:52:44.363000+00:00,BTC-17OCT25-125000-C,0.0015,100.0,sell,113396.4,45.64
2025-10-10 23:52:44.363000+00:00,BTC-24OCT25-125000-C,0.0054,100.0,buy,113394.12,43.48
2025-10-10 23:52:51.423000+00:00,BTC-31OCT25-106000-P,0.015,0.1,sell,113425.67,44.15
2025-10-10 23:52:54.931000+00:00,BTC-17OCT25-118000-C,0.0095,0.3,sell,113481.67,44.48
2025-10-10 23:52:59.355000+00:00,BTC-13OCT25-121000-C,0.0012,0.5,sell,113462.61,52.17
2025-10-10 23:52:59.385000+00:00,BTC-13OCT25-121000-C,0.0012,0.3,sell,113462.61,52.17
2025-10-10 23:53:00.323000+00:00,BTC-13OCT25-121000-C,0.0012,0.1,sell,113457.21,52.17
2025-10-10 23:53:00.654000+00:00,BTC-11OCT25-104000-P,0.0003,0.1,buy,113457.21,139.63
2025-10-10 23:53:01.422000+00:00,BTC-26DEC25-132000-C,0.03,0.1,sell,113457.21,42.83
2025-10-10 23:53:02.188000+00:00,BTC-12OCT25-108000-C,0.05,0.3,sell,113469.92,61.14
2025-10-10 23:53:02.530000+00:00,BTC-26DEC25-70000-C,0.395,2.1,sell,113469.92,59.82
2025-10-10 23:53:03.503000+00:00,BTC-12OCT25-102000-P,0.0011,0.6,buy,113432.4,104.12
2025-10-10 23:53:03.513000+00:00,BTC-12OCT25-102000-P,0.0011,0.3,buy,113432.4,104.12
2025-10-10 23:53:05.520000+00:00,BTC-24OCT25-115000-C,0.0265,1.6,buy,113410.39,42.1
2025-10-10 23:53:05.611000+00:00,BTC-13OCT25-121000-C,0.0012,0.3,sell,113410.39,52.54
2025-10-10 23:53:05.828000+00:00,BTC-11OCT25-118000-P,0.0385,2.0,buy,113416.29,0.0
2025-10-10 23:53:07.643000+00:00,BTC-26DEC25-150000-C,0.012,0.1,buy,113446.48,46.1
2025-10-10 23:53:07.645000+00:00,BTC-26DEC25-150000-C,0.012,4.8,sell,113446.48,46.1
2025-10-10 23:53:07.646000+00:00,BTC-26DEC25-150000-C,0.012,2.1,sell,113446.48,46.1
2025-10-10 23:53:07.646000+00:00,BTC-26DEC25-150000-C,0.012,3.0,sell,113446.48,46.1
2025-10-10 23:53:08.123000+00:00,BTC-31OCT25-118000-C,0.023,1.0,sell,113432.2,40.63
2025-10-10 23:53:10.275000+00:00,BTC-26DEC25-30000-P,0.0001,0.2,buy,113429.99,99.36
2025-10-10 23:53:15.721000+00:00,BTC-31OCT25-123000-C,0.012,1.1,buy,113436.06,41.18
2025-10-10 23:53:16.977000+00:00,BTC-31OCT25-112000-P,0.0325,1.8,buy,113419.26,42.31
